timestamp,date,temp
1573858789,2019-11-15 19:59:49,27.062
1573858793,2019-11-15 19:59:53,27.062
1573858797,2019-11-15 19:59:57,27.062
1573858801,2019-11-15 20:00:01,27.062
1573858805,2019-11-15 20:00:05,27.062
1573858809,2019-11-15 20:00:09,27.062
1573858814,2019-11-15 20:00:14,27.062
1573858818,2019-11-15 20:00:18,27.062
1573858822,2019-11-15 20:00:22,27.062
1573858826,2019-11-15 20:00:26,27.062
1573858830,2019-11-15 20:00:30,27.062
1573858834,2019-11-15 20:00:34,27.062
1573858838,2019-11-15 20:00:38,27.062
1573858842,2019-11-15 20:00:42,27.062
1573858846,2019-11-15 20:00:46,27.125
1573858850,2019-11-15 20:00:50,27.125
1573858854,2019-11-15 20:00:54,27.125
1573858859,2019-11-15 20:00:59,27.125
1573858863,2019-11-15 20:01:03,27.187
1573858867,2019-11-15 20:01:07,27.187
1573858871,2019-11-15 20:01:11,27.187
1573858875,2019-11-15 20:01:15,27.187
1573858879,2019-11-15 20:01:19,27.187
1573858883,2019-11-15 20:01:23,27.187
1573858887,2019-11-15 20:01:27,27.187
1573858891,2019-11-15 20:01:31,27.187
1573858895,2019-11-15 20:01:35,27.187
1573858899,2019-11-15 20:01:39,27.187
1573858903,2019-11-15 20:01:43,27.187
1573858907,2019-11-15 20:01:47,27.125
1573858912,2019-11-15 20:01:52,27.125
1573858916,2019-11-15 20:01:56,27.125
1573858920,2019-11-15 20:02:00,27.125
1573858924,2019-11-15 20:02:04,27.125
1573858928,2019-11-15 20:02:08,27.125
1573858932,2019-11-15 20:02:12,27.125
1573858936,2019-11-15 20:02:16,27.125
1573858940,2019-11-15 20:02:20,27.125
1573858944,2019-11-15 20:02:24,27.125
1573858948,2019-11-15 20:02:28,27.062
1573858952,2019-11-15 20:02:32,27.062
1573858957,2019-11-15 20:02:37,27.062
1573858961,2019-11-15 20:02:41,27.062
1573858965,2019-11-15 20:02:45,27.062
1573858969,2019-11-15 20:02:49,27.062
1573858973,2019-11-15 20:02:53,27.062
1573858977,2019-11-15 20:02:57,27.125
1573858981,2019-11-15 20:03:01,27.125
1573858985,2019-11-15 20:03:05,27.125
1573858989,2019-11-15 20:03:09,27.125
1573858993,2019-11-15 20:03:13,27.187
1573858997,2019-11-15 20:03:17,27.187
1573859001,2019-11-15 20:03:21,27.125
1573859005,2019-11-15 20:03:25,27.0
1573859010,2019-11-15 20:03:30,26.937
1573859014,2019-11-15 20:03:34,26.937
1573859018,2019-11-15 20:03:38,26.937
1573859022,2019-11-15 20:03:42,26.937
1573859026,2019-11-15 20:03:46,26.937
1573859030,2019-11-15 20:03:50,26.875
1573859034,2019-11-15 20:03:54,26.875
1573859038,2019-11-15 20:03:58,26.875
1573859042,2019-11-15 20:04:02,26.812
1573859046,2019-11-15 20:04:06,26.812
1573859050,2019-11-15 20:04:10,26.812
1573859054,2019-11-15 20:04:14,26.812
1573859059,2019-11-15 20:04:19,26.812
1573859063,2019-11-15 20:04:23,26.812
1573859067,2019-11-15 20:04:27,26.75
1573859071,2019-11-15 20:04:31,26.75
1573859075,2019-11-15 20:04:35,26.75
1573859079,2019-11-15 20:04:39,26.75
1573859083,2019-11-15 20:04:43,26.75
1573859087,2019-11-15 20:04:47,26.75
1573859091,2019-11-15 20:04:51,26.75
1573859095,2019-11-15 20:04:55,26.75
1573859099,2019-11-15 20:04:59,26.75
1573859104,2019-11-15 20:05:04,26.75
1573859108,2019-11-15 20:05:08,26.812
1573859112,2019-11-15 20:05:12,26.812
1573859116,2019-11-15 20:05:16,26.812
1573859120,2019-11-15 20:05:20,26.812
1573859124,2019-11-15 20:05:24,26.812
1573859128,2019-11-15 20:05:28,26.875
1573859132,2019-11-15 20:05:32,26.875
1573859136,2019-11-15 20:05:36,26.875
1573859140,2019-11-15 20:05:40,26.875
1573859144,2019-11-15 20:05:44,26.937
1573859148,2019-11-15 20:05:48,26.937
1573859153,2019-11-15 20:05:53,26.937
1573859157,2019-11-15 20:05:57,26.937
1573859161,2019-11-15 20:06:01,26.937
1573859165,2019-11-15 20:06:05,27.0
1573859169,2019-11-15 20:06:09,27.0
1573859173,2019-11-15 20:06:13,27.0
1573859177,2019-11-15 20:06:17,27.0
1573859181,2019-11-15 20:06:21,27.0
1573859185,2019-11-15 20:06:25,27.0
1573859189,2019-11-15 20:06:29,27.0
1573859193,2019-11-15 20:06:33,26.937
1573859197,2019-11-15 20:06:37,26.937
1573859202,2019-11-15 20:06:42,26.875
1573859206,2019-11-15 20:06:46,26.875
1573859210,2019-11-15 20:06:50,26.875
1573859214,2019-11-15 20:06:54,26.812
1573859218,2019-11-15 20:06:58,26.812
1573859222,2019-11-15 20:07:02,26.812
1573859226,2019-11-15 20:07:06,26.812
1573859230,2019-11-15 20:07:10,26.812
1573859234,2019-11-15 20:07:14,26.75
1573859238,2019-11-15 20:07:18,26.75
1573859242,2019-11-15 20:07:22,26.75
1573859246,2019-11-15 20:07:26,26.75
1573859251,2019-11-15 20:07:31,26.75
1573859255,2019-11-15 20:07:35,26.75
1573859259,2019-11-15 20:07:39,26.812
1573859263,2019-11-15 20:07:43,26.812
1573859267,2019-11-15 20:07:47,26.812
1573859271,2019-11-15 20:07:51,26.75
1573859275,2019-11-15 20:07:55,26.75
1573859279,2019-11-15 20:07:59,26.75
1573859283,2019-11-15 20:08:03,26.75
1573859287,2019-11-15 20:08:07,26.75
1573859291,2019-11-15 20:08:11,26.75
1573859295,2019-11-15 20:08:15,26.75
1573859300,2019-11-15 20:08:20,26.75
1573859304,2019-11-15 20:08:24,26.75
1573859308,2019-11-15 20:08:28,26.75
1573859312,2019-11-15 20:08:32,26.75
1573859316,2019-11-15 20:08:36,26.75
1573859320,2019-11-15 20:08:40,26.812
1573859324,2019-11-15 20:08:44,26.812
1573859328,2019-11-15 20:08:48,26.812
1573859332,2019-11-15 20:08:52,26.812
1573859336,2019-11-15 20:08:56,26.875
1573859341,2019-11-15 20:09:01,26.875
1573859345,2019-11-15 20:09:05,26.875
1573859349,2019-11-15 20:09:09,26.875
1573859353,2019-11-15 20:09:13,26.875
1573859357,2019-11-15 20:09:17,26.875
1573859361,2019-11-15 20:09:21,26.875
1573859365,2019-11-15 20:09:25,26.875
1573859369,2019-11-15 20:09:29,26.875
1573859373,2019-11-15 20:09:33,26.937
1573859377,2019-11-15 20:09:37,26.937
1573859381,2019-11-15 20:09:41,26.937
1573859385,2019-11-15 20:09:45,26.937
1573859389,2019-11-15 20:09:49,26.937
1573859394,2019-11-15 20:09:54,26.937
1573859398,2019-11-15 20:09:58,26.937
1573859402,2019-11-15 20:10:02,26.937
1573859406,2019-11-15 20:10:06,26.937
1573859410,2019-11-15 20:10:10,26.937
1573859414,2019-11-15 20:10:14,26.937
1573859418,2019-11-15 20:10:18,26.937
1573859422,2019-11-15 20:10:22,26.937
1573859426,2019-11-15 20:10:26,26.937
1573859430,2019-11-15 20:10:30,26.937
1573859434,2019-11-15 20:10:34,27.0
1573859439,2019-11-15 20:10:39,27.0
1573859443,2019-11-15 20:10:43,27.0
1573859447,2019-11-15 20:10:47,27.0
1573859451,2019-11-15 20:10:51,27.0
1573859455,2019-11-15 20:10:55,27.0
1573859459,2019-11-15 20:10:59,26.937
1573859463,2019-11-15 20:11:03,26.937
1573859467,2019-11-15 20:11:07,26.937
1573859471,2019-11-15 20:11:11,26.937
1573859475,2019-11-15 20:11:15,26.875
1573859479,2019-11-15 20:11:19,26.875
1573859483,2019-11-15 20:11:23,26.875
1573859487,2019-11-15 20:11:27,26.875
1573859492,2019-11-15 20:11:32,26.812
1573859496,2019-11-15 20:11:36,26.812
1573859500,2019-11-15 20:11:40,26.812
1573859504,2019-11-15 20:11:44,26.812
1573859508,2019-11-15 20:11:48,26.75
1573859512,2019-11-15 20:11:52,26.75
1573859516,2019-11-15 20:11:56,26.75
1573859520,2019-11-15 20:12:00,26.75
1573859524,2019-11-15 20:12:04,26.75
1573859528,2019-11-15 20:12:08,26.687
1573859532,2019-11-15 20:12:12,26.687
1573859536,2019-11-15 20:12:16,26.687
1573859541,2019-11-15 20:12:21,26.687
1573859545,2019-11-15 20:12:25,26.625
1573859549,2019-11-15 20:12:29,26.625
1573859553,2019-11-15 20:12:33,26.625
1573859557,2019-11-15 20:12:37,26.625
1573859561,2019-11-15 20:12:41,26.625
1573859565,2019-11-15 20:12:45,26.625
1573859569,2019-11-15 20:12:49,26.625
1573859573,2019-11-15 20:12:53,26.625
1573859577,2019-11-15 20:12:57,26.625
1573859582,2019-11-15 20:13:02,26.625
1573859586,2019-11-15 20:13:06,26.687
1573859590,2019-11-15 20:13:10,26.687
1573859594,2019-11-15 20:13:14,26.687
1573859598,2019-11-15 20:13:18,26.687
1573859602,2019-11-15 20:13:22,26.687
1573859606,2019-11-15 20:13:26,26.687
1573859610,2019-11-15 20:13:30,26.687
1573859614,2019-11-15 20:13:34,26.625
1573859618,2019-11-15 20:13:38,26.625
1573859622,2019-11-15 20:13:42,26.625
1573859626,2019-11-15 20:13:46,26.687
1573859631,2019-11-15 20:13:51,26.687
1573859635,2019-11-15 20:13:55,26.687
1573859639,2019-11-15 20:13:59,26.687
1573859643,2019-11-15 20:14:03,26.75
1573859647,2019-11-15 20:14:07,26.75
1573859651,2019-11-15 20:14:11,26.75
1573859655,2019-11-15 20:14:15,26.75
1573859659,2019-11-15 20:14:19,26.75
1573859663,2019-11-15 20:14:23,26.75
1573859667,2019-11-15 20:14:27,26.75
1573859671,2019-11-15 20:14:31,26.75
1573859675,2019-11-15 20:14:35,26.75
1573859679,2019-11-15 20:14:39,26.75
1573859684,2019-11-15 20:14:44,26.75
1573859688,2019-11-15 20:14:48,26.75
1573859692,2019-11-15 20:14:52,26.75
1573859696,2019-11-15 20:14:56,26.75
1573859700,2019-11-15 20:15:00,26.75
1573859704,2019-11-15 20:15:04,26.75
1573859708,2019-11-15 20:15:08,26.75
1573859712,2019-11-15 20:15:12,26.687
1573859716,2019-11-15 20:15:16,26.687
1573859720,2019-11-15 20:15:20,26.687
1573859724,2019-11-15 20:15:24,26.687
1573859728,2019-11-15 20:15:28,26.687
1573859733,2019-11-15 20:15:33,26.687
1573859737,2019-11-15 20:15:37,26.687
1573859741,2019-11-15 20:15:41,26.687
1573859745,2019-11-15 20:15:45,26.687
1573859749,2019-11-15 20:15:49,26.687
1573859753,2019-11-15 20:15:53,26.687
1573859757,2019-11-15 20:15:57,26.75
1573859761,2019-11-15 20:16:01,26.75
1573859765,2019-11-15 20:16:05,26.812
1573859769,2019-11-15 20:16:09,26.812
1573859773,2019-11-15 20:16:13,26.75
1573859777,2019-11-15 20:16:17,26.812
1573859782,2019-11-15 20:16:22,26.812
1573859786,2019-11-15 20:16:26,26.875
1573859790,2019-11-15 20:16:30,26.875
1573859794,2019-11-15 20:16:34,26.875
1573859798,2019-11-15 20:16:38,26.875
1573859802,2019-11-15 20:16:42,26.875
1573859806,2019-11-15 20:16:46,26.875
1573859810,2019-11-15 20:16:50,26.875
1573859814,2019-11-15 20:16:54,26.875
1573859818,2019-11-15 20:16:58,26.812
1573859822,2019-11-15 20:17:02,26.812
1573859827,2019-11-15 20:17:07,26.812
1573859831,2019-11-15 20:17:11,26.812
1573859835,2019-11-15 20:17:15,26.75
1573859839,2019-11-15 20:17:19,26.75
1573859843,2019-11-15 20:17:23,26.75
1573859847,2019-11-15 20:17:27,26.75
1573859851,2019-11-15 20:17:31,26.75
1573859855,2019-11-15 20:17:35,26.75
1573859859,2019-11-15 20:17:39,26.687
1573859863,2019-11-15 20:17:43,26.687
1573859867,2019-11-15 20:17:47,26.687
1573859871,2019-11-15 20:17:51,26.687
1573859875,2019-11-15 20:17:55,26.687
1573859880,2019-11-15 20:18:00,26.687
1573859884,2019-11-15 20:18:04,26.687
1573859888,2019-11-15 20:18:08,26.687
1573859892,2019-11-15 20:18:12,26.687
1573859896,2019-11-15 20:18:16,26.687
1573859900,2019-11-15 20:18:20,26.687
1573859904,2019-11-15 20:18:24,26.687
1573859908,2019-11-15 20:18:28,26.687
1573859912,2019-11-15 20:18:32,26.687
